CaseOrder,Customer_id,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
1,K409198,Point Baker,AK,Prince of Wales-Hyder,99927,56.251000000000005,-133.37571,38,Urban,America/Sitka,Environmental health practitioner,0.0,68.0,Master's Degree,Part Time,28561.99,Widowed,Male,No,6.972566092999999,10,0,1,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),6.795512947000001,171.44976210000002,904.5361101999999,5,5,5,3,4,4,3,4
2,S120509,West Branch,MI,Ogemaw,48661,44.32893,-84.2408,10446,Urban,America/Detroit,"Programmer, multimedia",1.0,27.0,Regular High School Diploma,Retired,21704.77,Married,Female,Yes,12.01454108,12,0,1,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),1.156680997,242.94801549999997,800.9827661,3,4,3,3,4,3,4,4
3,K191035,Yamhill,OR,Yamhill,97148,45.35589,-123.24656999999999,3735,Urban,America/Los_Angeles,Chief Financial Officer,4.0,50.0,Regular High School Diploma,Student,39936.76222636489,Widowed,Female,No,10.24561565,9,0,1,Yes,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),15.75414408,159.44039840000002,2054.706961,4,4,2,4,4,3,3,3
4,D90850,Del Mar,CA,San Diego,92014,32.96687,-117.24798,13863,Suburban,America/Los_Angeles,Solicitor,1.0,48.0,Doctorate Degree,Retired,18925.23,Married,Male,No,15.20619309,15,2,0,Yes,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,17.08722662,120.2494934,2164.579412,4,4,4,2,5,4,3,3
5,K662701,Needville,TX,Fort Bend,77461,29.38012,-95.80673,11352,Suburban,America/Chicago,Medical illustrator,0.0,83.0,Master's Degree,Student,40074.19,Separated,Male,Yes,8.960316419,16,2,1,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,1.6709717259999999,150.7612159,271.49343619999996,4,4,4,3,4,4,4,5
6,W303516,Fort Valley,GA,Peach,31030,32.57032,-83.8904,17701,Urban,America/New_York,Chief Technology Officer,3.0,83.0,No Schooling Completed,Full Time,39936.76222636489,Never Married,Female,No,7.814858954,15,3,1,No,One year,Yes,No,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,7.000993555,184.4015581,1039.357983,3,3,3,2,4,3,3,3
7,U335188,Pioneer,TN,Scott,37847,36.4342,-84.27892,2535,Suburban,America/New_York,"Surveyor, hydrographic",0.0,53.27574750830565,Associate's Degree,Full Time,11467.5,Widowed,Male,Yes,11.12909443,10,0,1,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,13.23677381,200.0648859,1907.2429719999998,6,5,6,4,1,5,5,5
8,V538685,Oklahoma City,OK,Oklahoma,73109,35.43313,-97.52463,23144,Suburban,America/Chicago,Sales promotion account executive,2.0,53.27574750830565,Bachelor's Degree,Full Time,26759.64,Married,Female,Yes,7.594838367,16,0,0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,34.49885764604514,114.7541111,979.6127078,2,2,2,5,2,3,4,5
9,M716771,Saint Cloud,FL,Osceola,34771,28.276459999999997,-81.16273000000001,17351,Suburban,America/New_York,Teaching laboratory technician,2.0,49.0,"Some College, Less than 1 Year",Full Time,58634.51,Separated,Prefer not to answer,No,6.637258801000001,20,2,3,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),8.220686373,118.3668439,1312.874964,5,4,4,3,4,3,4,4
10,I676080,Cincinnati,OH,Hamilton,45237,39.19296,-84.4523,20193,Rural,America/New_York,Museum education officer,0.0,86.0,GED or Alternative Credential,Full Time,50231.4,Married,Female,No,9.230409493,18,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,3.4220861389999997,163.0052796,508.7637913,2,2,2,2,5,2,3,3
