InternetService,Multiple,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Tenure,MonthlyCharge,Bandwidth_GB_Year
1,0,1,0,0,0,1,6.795512947000001,171.44976210000002,904.5361101999999
1,1,0,0,0,1,1,1.156680997,242.94801549999997,800.9827661
0,1,0,0,0,0,1,15.75414408,159.44039840000002,2054.706961
0,0,0,0,0,1,0,17.08722662,120.2494934,2164.579412
1,0,0,0,1,1,0,1.6709717259999999,150.7612159,271.49343619999996
2,1,1,1,0,0,1,7.000993555,184.4015581,1039.357983
0,0,0,0,1,1,1,13.23677381,200.0648859,1907.2429719999998
0,0,1,0,0,0,0,34.49885764604514,114.7541111,979.6127078
0,0,1,0,0,0,0,8.220686373,118.3668439,1312.874964
1,0,0,1,0,0,1,3.4220861389999997,163.0052796,508.7637913
0,1,1,0,0,1,0,19.26726194,177.451599,2728.7678690000002
1,0,0,1,0,1,0,34.49885764604514,148.36408740000002,1180.588788
1,0,0,0,0,1,0,13.01149229,136.4312394,1196.3880179999999
1,1,0,0,1,1,0,16.87922024,185.65929419999998,1948.694497
0,1,1,0,1,0,0,10.06019902,160.80554180000001,3398.8427520151345
2,0,0,0,0,1,1,13.87001293,176.3345094,1840.0144670000002
0,1,1,1,0,0,1,15.78214958,195.8726039,2070.376729
2,0,0,1,1,1,1,34.49885764604514,203.06959730000003,882.0985933000001
2,0,1,1,1,1,0,17.10995632,154.0171018,1833.0967
0,1,0,0,0,1,0,12.80615845,150.1107392,1954.080809
1,0,1,1,0,0,1,20.45390977,185.096264,2330.319383
1,0,0,1,0,0,0,2.415991977,127.03177659999999,594.1054279
1,0,0,0,1,0,0,6.652298992,125.56230179999999,713.0633088
1,0,0,0,1,1,0,8.543717478,150.3295122,945.3802927999999
2,1,0,1,0,0,1,5.770390256000001,163.31240549999998,870.7639800000001
0,0,0,0,0,0,0,4.157658837,94.06699355,774.2937069
1,0,0,1,0,1,1,10.40566091,222.9597637,1506.446527
2,0,1,1,0,1,0,1.3924215969999998,141.092117,419.0508708
0,0,0,1,0,1,1,34.49885764604514,230.62376459999996,1259.415493
0,1,1,1,0,1,1,5.425864884,259.3879183,1745.1259559999999
1,0,1,0,0,1,1,11.08287797,230.9648914,1795.465729
2,1,1,0,0,0,0,34.49885764604514,147.8152871,492.4771472
1,0,1,0,0,1,1,4.727388465,230.2438882,1013.993166
0,1,1,0,0,1,0,20.89923386,175.8247451,3398.8427520151345
1,1,0,1,1,1,1,3.471329958,267.4362279,1081.8143619999998
0,1,1,0,1,0,0,5.478588203999999,162.6090148,1209.961168
1,1,1,1,1,0,1,3.3129918089999997,258.40816540000003,897.5919144
0,1,0,1,0,0,0,7.161561527000001,138.7077155,1340.9301560000001
1,0,1,0,1,0,1,9.847563363999999,185.80724809999998,1113.993679
1,0,1,1,0,0,0,16.04202196,147.29118789999998,1530.10769
1,0,1,1,0,1,0,9.179779682000001,199.93412619999998,3398.8427520151345
0,0,0,0,1,0,0,34.49885764604514,105.9429467,892.8964931
1,1,0,0,1,1,1,3.924254455,253.7918326,1125.581944
1,1,0,0,1,0,1,18.55959629,192.76227680000002,2016.7100309999998
1,1,0,0,0,1,1,8.798394712,243.3707028,1412.736809
2,1,1,1,0,1,1,10.377366,245.4671211,3398.8427520151345
1,0,1,0,1,0,1,22.25746016,185.07194040000002,2384.885909
1,1,1,1,1,0,0,9.427146079,194.57131569999999,1213.940165
2,0,0,0,0,1,0,7.760290062,105.6553743,740.010722
2,0,0,0,1,0,0,11.56938439,92.42950948,897.9716152999999
0,1,0,1,1,0,1,3.343811019,185.545865,1026.387172
2,0,0,1,0,1,1,7.338869531,188.1878188,1234.244324
1,0,0,1,0,1,0,5.486534225,148.41540580000003,727.3731845
1,1,0,0,0,1,0,1.55278221,167.3108222,452.87215039999995
1,1,0,1,0,0,0,12.07970325,158.9035122,1296.6745429999999
0,0,0,1,0,1,0,13.98666226,131.1822001,1840.628269
0,0,1,0,0,0,0,9.563362997,116.09523300000001,1324.330108
2,0,0,1,1,0,1,6.7329489460000005,142.3770231,958.1397059000001
2,1,0,0,1,1,1,15.72071086,221.1610613,3398.8427520151345
1,0,0,1,0,0,0,7.233605493,125.8287767,676.712908
0,0,1,0,1,0,1,2.8710170369999997,163.8522919,1086.990308
1,1,0,1,1,1,0,2.3448753819999997,225.2947474,704.7540406
0,0,1,0,0,0,1,7.960490246,150.2616031,1416.444695
