City,State,County,Zip,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year
4323,0,1185,99927,38,2,22,228,0.0,68.0,5,1,28561.99,4,1,6.972566092999999,10,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,6.795512947000001,171.44976210000002,904.5361101999999
5778,22,1056,48661,10446,2,4,467,1.0,27.0,9,2,21704.77,1,0,12.01454108,12,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1.156680997,242.94801549999997,800.9827661
6020,37,1603,97148,3735,2,14,95,4.0,50.0,9,3,39936.76222636489,4,0,10.24561565,9,0,1,1,2,1,0,0,1,1,0,0,0,0,0,1,1,1,15.75414408,159.44039840000002,2054.706961
1347,4,1275,92014,13863,1,14,551,1.0,48.0,3,2,18925.23,1,1,15.20619309,15,2,0,1,2,0,0,0,1,0,1,0,0,0,1,0,1,3,17.08722662,120.2494934,2164.579412
3696,44,522,77461,11352,1,2,370,0.0,83.0,5,3,40074.19,3,1,8.960316419,16,2,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,3,1.6709717259999999,150.7612159,271.49343619999996
1913,10,1115,31030,17701,2,16,99,3.0,83.0,6,0,39936.76222636489,2,0,7.814858954,15,3,1,0,1,1,0,2,1,1,1,1,1,0,0,1,0,2,7.000993555,184.4015581,1039.357983
4278,43,1311,37847,2535,1,16,570,0.0,53.27574750830565,1,0,11467.5,4,1,11.12909443,10,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,2,13.23677381,200.0648859,1907.2429719999998
3969,36,1065,73109,23144,1,2,523,2.0,53.27574750830565,2,0,26759.64,1,0,7.594838367,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,34.49885764604514,114.7541111,979.6127078
4758,9,1082,34771,17351,1,16,590,2.0,49.0,11,0,58634.51,3,2,6.637258801000001,20,2,3,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,8.220686373,118.3668439,1312.874964
993,35,619,45237,20193,0,16,388,0.0,86.0,4,0,50231.4,1,0,9.230409493,18,1,0,0,2,1,0,1,1,0,1,0,1,0,0,1,1,3,3.4220861389999997,163.0052796,508.7637913
3054,38,1412,18830,555,2,16,589,7.0,23.0,9,0,39936.76222636489,3,0,11.83511269,9,0,2,0,0,0,0,0,1,1,1,1,0,0,1,0,0,3,19.26726194,177.451599,2728.7678690000002
1176,39,355,783,33372,0,21,358,2.0,56.0,2,0,18342.12,1,0,5.08282075,17,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,2,34.49885764604514,148.36408740000002,1180.588788
1129,12,999,52739,556,0,2,199,0.0,83.0,5,2,83671.08,0,1,7.265960814,9,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,13.01149229,136.4312394,1196.3880179999999
1537,21,36,4228,0,2,16,339,5.0,53.27574750830565,6,2,115114.57,3,0,6.568343833999999,14,1,0,0,2,1,1,1,1,1,1,0,0,1,1,0,1,0,16.87922024,185.65929419999998,1948.694497
2443,14,349,60162,8165,2,2,56,0.0,30.0,1,0,64256.81,3,1,12.63069124,10,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,10.06019902,160.80554180000001,3398.8427520151345
4763,49,1511,54558,2093,1,2,33,0.0,39.0,2,0,89061.45,0,1,9.48221912,13,1,0,0,1,0,0,2,1,0,1,0,0,0,1,1,1,2,13.87001293,176.3345094,1840.0144670000002
3512,4,1381,95351,50079,2,14,38,0.0,63.0,10,2,31659.3,1,0,14.42916512,13,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,15.78214958,195.8726039,2070.376729
4127,27,1238,28371,7249,0,16,314,0.0,60.0,0,2,44142.81,3,1,10.21790303,16,3,0,0,2,0,0,2,1,0,1,0,1,1,1,1,0,3,34.49885764604514,203.06959730000003,882.0985933000001
3926,43,505,38060,9463,0,2,207,3.0,61.0,9,0,39262.14,4,0,11.10106846,11,1,0,1,2,1,0,2,1,0,0,1,1,1,1,0,1,0,17.10995632,154.0171018,1833.0967
5466,1,152,35172,3177,0,2,70,3.0,23.0,1,1,19494.75,0,1,11.08853215,10,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,12.80615845,150.1107392,1954.080809
2734,14,748,60144,69,0,2,144,4.0,53.27574750830565,7,2,39624.21,2,1,12.18669792,14,0,3,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,20.45390977,185.096264,2330.319383
1112,35,524,43215,14440,1,16,275,3.0,30.0,9,2,39936.76222636489,0,1,6.520830557999999,18,1,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,2.415991977,127.03177659999999,594.1054279
3208,12,1101,50562,381,2,2,164,0.0,52.0,0,0,27442.03,4,1,9.970974396,16,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,6.652298992,125.56230179999999,713.0633088
258,21,1538,4694,2193,2,16,235,2.0,68.0,2,0,79699.62,0,1,7.490198816,9,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,2,8.543717478,150.3295122,945.3802927999999
5894,35,310,45176,9434,0,16,230,3.0,75.0,9,0,28520.32,4,0,14.54825704,15,1,0,0,0,0,1,2,1,1,1,0,1,0,0,1,0,1,5.770390256000001,163.31240549999998,870.7639800000001
4752,9,1370,32086,29568,1,16,144,1.0,77.0,4,0,12558.83,3,1,11.37952059,12,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.157658837,94.06699355,774.2937069
5431,32,928,87325,3089,0,3,471,0.0,47.0,2,2,8762.23,1,0,16.1723942,15,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,3,10.40566091,222.9597637,1506.446527
